attack_techniques_id,engage_activity_id
T1204,EAC0020
T1204,EAC0012
T1204,EAC0015
T1204,EAC0013
T1205,EAC0002
T1205,EAC0016
T1205,EAC0002
T1207,EAC0018
T1207,EAC0003
T1207,EAC0018
T1210,EAC0005
T1210,EAC0018
T1210,EAC0018
T1210,EAC0006
T1211,EAC0005
T1211,EAC0018
T1211,EAC0018
T1211,EAC0006
T1212,EAC0005
T1212,EAC0018
T1212,EAC0012
T1212,EAC0018
T1212,EAC0006
T1213,EAC0015
T1213,EAC0011
T1213,EAC0015
T1213,EAC0005
T1213,EAC0018
T1213,EAC0015
T1216,EAC0001
T1216,EAC0014
T1216,EAC0013
T1217,EAC0015
T1217,EAC0011
T1217,EAC0012
T1217,EAC0015
T1217,EAC0014
T1217,EAC0015
T1218,EAC0001
T1218,EAC0014
T1218,EAC0013
T1219,EAC0005
T1219,EAC0011
T1219,EAC0005
T1219,EAC0006
T1219,EAC0012
T1219,EAC0013
T1219,EAC0016
T1220,EAC0001
T1220,EAC0014
T1220,EAC0005
T1220,EAC0013
T1221,EAC0005
T1221,EAC0013
T1221,EAC0005
T1221,EAC0022
T1222,EAC0018
T1222,EAC0022
T1222,EAC0018
T1480,EAC0005
T1480,EAC0015
T1480,EAC0019
T1482,EAC0015
T1482,EAC0022
T1485,EAC0015
T1485,EAC0011
T1485,EAC0001
T1485,EAC0005
T1485,EAC0014
T1485,EAC0015
T1486,EAC0015
T1486,EAC0014
T1486,EAC0022
T1489,EAC0018
T1489,EAC0022
T1490,EAC0003
T1490,EAC0019
T1491,EAC0005
T1491,EAC0015
T1495,EAC0003
T1496,EAC0014
T1496,EAC0001
T1496,EAC0006
T1497,EAC0015
T1497,EAC0011
T1497,EAC0015
T1498,EAC0002
T1498,EAC0016
T1499,EAC0007
T1499,EAC0016
T1505,EAC0019
T1505,EAC0006
T1518,EAC0005
T1518,EAC0011
T1518,EAC0014
T1518,EAC0006
T1525,EAC0018
T1525,EAC0006
T1526,EAC0005
T1526,EAC0011
T1526,EAC0005
T1526,EAC0022
T1528,EAC0005
T1528,EAC0005
T1528,EAC0005
T1528,EAC0018
T1529,EAC0005
T1529,EAC0005
T1529,EAC0022
T1530,EAC0015
T1530,EAC0011
T1530,EAC0008
T1530,EAC0015
T1530,EAC0005
T1530,EAC0018
T1530,EAC0015
T1530,EAC0007
T1530,EAC0016
T1531,EAC0005
T1531,EAC0014
T1531,EAC0003
T1531,EAC0012
T1531,EAC0018
T1531,EAC0006
T1535,EAC0005
T1535,EAC0018
T1537,EAC0004
T1537,EAC0015
T1537,EAC0016
T1537,EAC0002
T1537,EAC0016
T1537,EAC0002
T1537,EAC0018
T1537,EAC0005
T1537,EAC0005
T1538,EAC0015
T1538,EAC0011
T1538,EAC0005
T1538,EAC0005
T1538,EAC0007
T1539,EAC0005
T1539,EAC0005
T1539,EAC0005
T1539,EAC0018
T1542,EAC0018
T1543,EAC0019
T1543,EAC0018
T1543,EAC0018
T1543,EAC0018
T1546,EAC0019
T1546,EAC0018
T1547,EAC0019
T1548,EAC0018
T1548,EAC0018
T1550,EAC0005
T1550,EAC0018
T1552,EAC0005
T1552,EAC0005
T1552,EAC0003
T1552,EAC0005
T1552,EAC0005
T1552,EAC0022
T1552,EAC0005
T1553,EAC0001
T1553,EAC0018
T1553,EAC0006
T1554,EAC0005
T1554,EAC0021
T1554,EAC0014
T1554,EAC0006
T1555,EAC0005
T1555,EAC0011
T1555,EAC0005
T1555,EAC0003
T1555,EAC0005
T1555,EAC0005
T1555,EAC0005
T1555,EAC0012
T1556,EAC0001
T1556,EAC0018
T1557,EAC0005
T1557,EAC0011
T1557,EAC0005
T1557,EAC0002
T1558,EAC0005
T1558,EAC0005
T1558,EAC0005
T1558,EAC0018
T1559,EAC0001
T1559,EAC0014
T1560,EAC0014
T1560,EAC0006
T1560,EAC0005
T1561,EAC0015
T1561,EAC0013
T1561,EAC0019
T1561,EAC0014
T1561,EAC0019
T1562,EAC0003
T1562,EAC0018
T1562,EAC0018
T1562,EAC0006
T1563,EAC0005
T1563,EAC0011
T1563,EAC0018
T1563,EAC0005
T1563,EAC0016
T1564,EAC0014
T1564,EAC0001
T1564,EAC0022
T1565,EAC0015
T1565,EAC0015
T1565,EAC0011
T1566,EAC0009
T1566,EAC0011
T1566,EAC0021
T1566,EAC0009
T1566,EAC0009
T1566,EAC0003
T1566,EAC0012
T1567,EAC0004
T1567,EAC0015
T1567,EAC0016
T1567,EAC0002
T1567,EAC0016
T1567,EAC0002
T1567,EAC0018
T1567,EAC0005
T1567,EAC0005
T1568,EAC0016
T1568,EAC0016
T1569,EAC0014
T1569,EAC0001
T1569,EAC0013
T1570,EAC0002
T1570,EAC0016
T1571,EAC0016
T1571,EAC0002
T1572,EAC0002
T1572,EAC0016
T1573,EAC0014
T1573,EAC0016
T1573,EAC0004
T1574,EAC0018
T1574,EAC0018
T1578,EAC0014
T1578,EAC0005
T1578,EAC0005
T1578,EAC0006
T1580,EAC0005
T1580,EAC0011
T1580,EAC0005
T1580,EAC0005
T1580,EAC0007
T1580,EAC0016
T1589,EAC0012
T1589,EAC0011
T1589,EAC0005
T1590,EAC0005
T1590,EAC0011
T1590,EAC0005
T1591,EAC0005
T1591,EAC0011
T1591,EAC0005
T1592,EAC0005
T1592,EAC0008
T1592,EAC0011
T1592,EAC0005
T1592,EAC0022
T1593,EAC0015
T1593,EAC0012
T1593,EAC0015
T1593,EAC0012
T1594,EAC0005
T1594,EAC0015
T1594,EAC0012
T1594,EAC0015
T1595,EAC0005
T1595,EAC0011
T1595,EAC0005
T1595,EAC0005
T1595,EAC0007
T1595,EAC0016
T1596,EAC0015
T1596,EAC0015
T1597,EAC0015
T1597,EAC0015
T1598,EAC0015
T1598,EAC0011
T1598,EAC0012
T1599,EAC0002
T1599,EAC0018
T1599,EAC0016
T1600,EAC0015
T1600,EAC0011
T1600,EAC0015
T1600,EAC0018
T1600,EAC0015
T1600,EAC0002
